Date,District,Confirmed,Recovered,Deceased
24-May-20,Kannur,176,116,1
24-May-20,Kasaragod,215,183,0
24-May-20,Kollam,37,21,0
24-May-20,Kottayam,31,22,0
24-May-20,Kozhikode,46,25,0
24-May-20,Malappuram,79,27,1
24-May-20,Palakkad,62,13,0
24-May-20,Pathanamthitta,27,17,0
24-May-20,Thiruvananthapuram,37,16,1
24-May-20,Thrissur,34,15,1
24-May-20,Wayanad,23,13,1
25-May-20,Alappuzha,25,5,0
25-May-20,Ernakulam,33,24,1
25-May-20,Idukki,27,25,0
25-May-20,Kannur,186,116,1
25-May-20,Kasaragod,229,189,0
25-May-20,Kollam,39,23,0
25-May-20,Kottayam,33,22,0
25-May-20,Kozhikode,50,25,0
25-May-20,Malappuram,79,28,1
25-May-20,Palakkad,67,13,0
25-May-20,Pathanamthitta,30,17,0
25-May-20,Thiruvananthapuram,42,16,1
25-May-20,Thrissur,34,15,1
25-May-20,Wayanad,23,14,1
26-May-20,Alappuzha,28,6,0
26-May-20,Ernakulam,38,25,1
26-May-20,Idukki,27,25,0
26-May-20,Kannur,194,116,2
26-May-20,Kasaragod,232,191,0
26-May-20,Kollam,43,23,0
26-May-20,Kottayam,39,23,0
26-May-20,Kozhikode,50,25,0
26-May-20,Malappuram,84,31,1
26-May-20,Palakkad,96,15,0
26-May-20,Pathanamthitta,30,17,0
26-May-20,Thiruvananthapuram,42,16,1
26-May-20,Thrissur,38,15,1
26-May-20,Wayanad,23,14,1
27-May-20,Alappuzha,35,8,0
27-May-20,Ernakulam,40,25,1
27-May-20,Idukki,27,25,0
27-May-20,Kannur,195,115,2
27-May-20,Kasaragod,242,194,0
27-May-20,Kollam,47,23,0
27-May-20,Kottayam,39,23,0
27-May-20,Kozhikode,52,25,0
27-May-20,Malappuram,84,36,1
27-May-20,Palakkad,104,15,0
27-May-20,Pathanamthitta,33,17,0
27-May-20,Thiruvananthapuram,42,16,1
27-May-20,Thrissur,38,15,1
27-May-20,Wayanad,26,15,1
28-May-20,Alappuzha,36,8,0
28-May-20,Ernakulam,40,25,1
28-May-20,Idukki,28,25,0
28-May-20,Kannur,205,116,2
28-May-20,Kasaragod,260,194,0
28-May-20,Kollam,48,23,0
28-May-20,Kottayam,42,23,0
28-May-20,Kozhikode,58,26,0
28-May-20,Malappuram,92,37,1
28-May-20,Palakkad,120,15,0
28-May-20,Pathanamthitta,39,17,0
28-May-20,Thiruvananthapuram,50,16,2
28-May-20,Thrissur,45,15,1
28-May-20,Wayanad,26,15,1
29-May-20,Alappuzha,39,8,0
29-May-20,Ernakulam,44,25,1
29-May-20,Idukki,29,25,0
29-May-20,Kannur,213,117,2
29-May-20,Kasaragod,264,195,0
29-May-20,Kollam,50,23,0
29-May-20,Kottayam,43,23,0
29-May-20,Kozhikode,60,28,0
29-May-20,Malappuram,97,38,1
29-May-20,Palakkad,134,15,0
29-May-20,Pathanamthitta,44,17,1
29-May-20,Thiruvananthapuram,55,16,2
29-May-20,Thrissur,51,15,1
29-May-20,Wayanad,28,20,1
30-May-20,Alappuzha,41,8,1
30-May-20,Ernakulam,48,25,1
30-May-20,Idukki,33,25,0
30-May-20,Kannur,228,118,2
30-May-20,Kasaragod,267,195,0
30-May-20,Kollam,54,23,0
30-May-20,Kottayam,44,24,0
30-May-20,Kozhikode,64,28,0
30-May-20,Malappuram,97,40,1
30-May-20,Palakkad,143,17,0
30-May-20,Pathanamthitta,44,17,1
30-May-20,Thiruvananthapuram,57,17,2
30-May-20,Thrissur,61,18,1
30-May-20,Wayanad,28,20,1
31-May-20,Alappuzha,47,8,1
31-May-20,Ernakulam,49,26,1
31-May-20,Idukki,33,25,0
31-May-20,Kannur,235,122,2
31-May-20,Kasaragod,277,196,0
31-May-20,Kollam,60,23,0
31-May-20,Kottayam,44,24,0
31-May-20,Kozhikode,66,32,0
31-May-20,Malappuram,100,42,1
31-May-20,Palakkad,155,17,0
31-May-20,Pathanamthitta,48,19,1
31-May-20,Thiruvananthapuram,61,18,2
31-May-20,Thrissur,64,18,1
31-May-20,Wayanad,31,20,1
